행정구역,2021년01월_계_총인구수,2021년01월_계_연령구간인구수,2021년01월_계_0~9세,2021년01월_계_10~19세,2021년01월_계_20~29세,2021년01월_계_30~39세,2021년01월_계_40~49세,2021년01월_계_50~59세,2021년01월_계_60~69세,2021년01월_계_70~79세,2021년01월_계_80~89세,2021년01월_계_90~99세,2021년01월_계_100세 이상
서울특별시 중랑구 면목제3.8동(1126057500),"25,594","25,594","1,117","1,478","3,823","3,599","3,539","4,737","4,049","2,302",830,109,11
서울특별시 중랑구 상봉제1동(1126058000),"24,714","24,714","1,852","1,975","3,573","3,615","3,587","4,416","3,339","1,610",657,87,3
서울특별시 중랑구 상봉제2동(1126059000),"20,001","20,001",792,807,"4,086","4,159","2,629","3,101","2,516","1,366",470,64,11
서울특별시 중랑구 중화제1동(1126060000),"20,179","20,179","1,265","1,330","2,899","3,216","2,823","3,363","3,093","1,562",556,67,5
서울특별시 중랑구 중화제2동(1126061000),"25,529","25,529","1,054","1,169","3,755","3,695","3,473","4,966","4,139","2,297",870,93,18
서울특별시 중랑구 묵제1동(1126062000),"35,322","35,322","2,357","3,124","4,968","4,929","5,880","5,557","4,737","2,613","1,002",132,23
서울특별시 중랑구 묵제2동(1126063000),"19,416","19,416","1,085","1,228","2,719","3,098","2,881","3,255","2,960","1,565",553,61,11
서울특별시 중랑구 망우본동(1126065500),"30,430","30,430","1,491","1,873","4,206","4,106","4,127","5,693","5,122","2,617","1,018",156,21
서울특별시 중랑구 망우제3동(1126066000),"17,102","17,102",795,"1,168","2,329","2,153","2,431","3,304","2,762","1,478",573,94,15
서울특별시 중랑구 신내1동(1126068000),"39,500","39,500","3,311","3,785","4,908","5,045","6,000","6,561","5,566","2,825","1,261",223,15
서울특별시 중랑구 신내2동(1126069000),"21,164","21,164","1,366","1,737","2,588","2,924","3,215","3,544","3,300","1,616",769,100,5
서울특별시 성북구 (1129000000),"437,684","437,684","28,855","37,128","66,679","59,977","69,867","69,541","55,189","33,660","14,301","2,094",393
서울특별시 성북구 성북동(1129052500),"16,869","16,869",772,"1,192","2,807","2,519","2,563","2,757","2,060","1,365",684,134,16
서울특별시 성북구 삼선동(1129055500),"23,479","23,479","1,135","1,890","4,232","3,315","3,678","3,679","2,762","1,828",817,109,34
서울특별시 성북구 동선동(1129057500),"15,519","15,519",578,926,"4,452","2,505","2,022","1,926","1,474","1,073",469,75,19
서울특별시 성북구 돈암제1동(1129058000),"15,249","15,249",826,"1,325","2,073","1,985","2,178","2,732","2,176","1,294",570,77,13
서울특별시 성북구 돈암제2동(1129059000),"24,508","24,508","2,000","2,867","2,989","3,012","4,499","4,080","2,729","1,468",724,130,10
서울특별시 성북구 안암동(1129060000),"15,008","15,008",445,828,"5,035","2,013","1,675","2,028","1,475",990,446,58,15
서울특별시 성북구 보문동(1129061000),"15,734","15,734",983,949,"2,703","2,597","2,410","2,558","1,908","1,093",454,63,16
서울특별시 성북구 정릉제1동(1129062000),"18,636","18,636","1,415","1,797","2,314","2,635","3,217","2,871","2,252","1,417",620,84,14
서울특별시 성북구 정릉제2동(1129063000),"23,499","23,499","1,515","1,881","3,250","3,160","3,626","3,738","3,369","2,018",807,117,18
서울특별시 성북구 정릉제3동(1129064000),"15,427","15,427",593,962,"3,132","1,898","1,929","2,381","2,218","1,502",687,115,10
서울특별시 성북구 정릉제4동(1129065000),"25,510","25,510","1,650","2,154","3,242","3,252","4,210","4,177","3,612","2,185",864,139,25
